monarch;birth_year;reign_start_year;reign_end_year;death_year
Gorm_den_Gamle;NA;NA;958;958
Harald_1._Blaatand;NA;958;987;987
Svend_1._Tveskaeg;NA;987;1014;1014
Harald_2._Svensen;NA;1014;1018;1018
Knud_2._den_Store;995;1018;1035;1035
Hardeknud;1020;1035;1042;1042
Magnus_1._den_Gode;1024;1042;1047;1047
Svend_2._Estridsen;NA;1047;1074;1076
Harald_3._Hén;NA;1074;1080;1080
Knud_4._den_Hellige;NA;1080;1086;1086
Oluf_1._Hunger;NA;1086;1095;1095
Erik_1._Ejegod;1056;1095;1103;1103
Niels;NA;1104;1134;1134
Erik_2._Emune;NA;1134;1137;1137
Erik_3._Lam;NA;1137;1146;1146
Svend_3._Grathe;NA;1146;1157;1157
Knud_5._Magnussen;NA;1146;1157;1157
Valdemar_1._den_Store;1131;1157;1182;1182
Knud_6.;1163;1182;1202;1202
Valdemar_2._Sejr;1170;1202;1241;1241
Erik_4._Plovpenning;1216;1241;1250;1250
Abel;1218;1250;1252;1252
Christoffer_1.;1219;1252;1259;1259
Erik_5._Klipping;1249;1259;1286;1286
Erik_6._Menved;1274;1286;1319;1319
Christoffer_2.;1276;1320;1326;1332
Christoffer_2.;1276;1330;1332;1332
Valdemar_3._Eriksen;1314;1326;1330;1330
Valdemar_4._Atterdag;1320;1340;1375;1375
Oluf_2.;1370;1376;1387;1387
Margrethe_1.;1353;1387;1412;1412
Erik_7._af_Pommern;1382;1412;1439;1459
Christoffer_3._af_Bayern;1416;1440;1448;1448
Christian_1.;1426;1448;1481;1481
Hans;1455;1481;1513;1513
Christian_2.;1481;1513;1523;1559
Frederik_1.;1471;1523;1533;1533
Christian_3.;1503;1534;1559;1559
Frederik_2.;1534;1559;1588;1588
Christian_4.;1577;1588;1648;1648
Frederik_3.;1609;1648;1670;1670
Christian_5.;1646;1670;1699;1699
Frederik_4.;1671;1699;1730;1730
Christian_6.;1699;1730;1746;1746
Frederik_5.;1723;1746;1766;1766
Christian_7.;1749;1766;1808;1808
Frederik_6.;1768;1808;1839;1839
Christian_8.;1786;1839;1848;1848
Frederik_7.;1808;1848;1863;1863
Christian_9.;1818;1863;1906;1906
Frederik_8.;1843;1906;1912;1912
Christian_10.;1870;1912;1947;1947
Frederik_9.;1899;1947;1972;1972
Margrethe_2.;1940;1972;NA;NA
Crownprince_Frederik;1968;NA;NA;NA